status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
296497732993_10153753236282994,Capital One has pizza right now in the CoC!,,status,,2015-09-23 11:56:06,1,0,0
296497732993_10153698892452994,Coke is giving out free cokes at the Campanile RIGHT NOW! Check again at 11:30 for free ice bottles!,,status,,2015-09-02 10:07:24,0,0,0
296497732993_10152766304852994,"We're looking for someone to actively maintain this page! If you're in the loop with free food opportunities, info sessions, and other free-food related events, message our page!",,status,,2014-09-12 11:46:47,1,0,0
296497732993_10152424523642994,RIGHT NOW: Free GT Gamefest pizza in the Klaus Atrium!,,status,,2014-04-20 13:28:02,0,0,0
296497732993_10152058188757994,TODAY: Free Mellow Mushroom in IC 105 @ 6:00pm! Come hear Microsoft speaker Matt Wallaert talk about website startups!,Microsoft Behavioral Speaker Matt Wallaert,event,https://www.facebook.com/events/181326738737406/,2013-11-13 14:13:02,0,0,1
296497732993_10151908322647994,"TODAY: Free Moe's in the Student Center, room 319 @ 6:30pm! Come learn more about Ripple Effect!",Ripple Effect: Preventing the Spread of HIV,photo,https://www.facebook.com/141332882588064/photos/a.325299467524737.74473.141332882588064/546597478728267/?type=3,2013-09-09 13:17:56,0,0,1
296497732993_10151899038502994,"We're still here!!! Stay up to date on the free food all throughout campus! If you're looking for a full MEAL tonight go to Tour of Asia at the GT Campanile from 5pm to 8pm!! 

Get a ton of food and enjoy different cultures!",Tour of Asia,event,https://www.facebook.com/events/528559840545550/,2013-09-05 17:21:46,0,0,0
296497732993_10151676323867994,"TOMORROW: If you're still on campus, there's going to be free Papa John's pizza tomorrow (Tues, 05/21) at the Georgia Tech Lorraine Info session! From 11:00am-12:00pm @ CULC 127 (thanks Joseph!).",,status,,2013-05-20 21:28:17,10,2,1
296497732993_150975218405321,RIGHT NOW: Free King of Pops pops at Tech Square from 11:30am to 6:00pm! (thanks MailChimp!),MailChimp Hearts Atlanta: Free Pops from King of Pops,link,http://us1.campaign-archive1.com/?u=f7b9ee22124ff6454424dc10c&id=bdc9f09e88&e=2d2d0f1fe9,2013-04-01 11:16:24,10,1,3
296497732993_10151591505172994,TODAY: Free snow cones on Tech Walkway today starting at 1:00pm! (thanks Josh!),,status,,2013-03-29 09:51:08,15,0,2
