status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
5281959998_10150673347859999,"The news that Pope Francis met privately with Kim Davis ""throws a wet blanket on the good will that the pontiff had garnered during his U.S. visit,” said Francis DeBernardo, executive director of an advocacy group for gay Catholics.","Pope Francis, Kim Davis and Culture Wars Revisited",link,http://nyti.ms/1O3ALWM,2015-09-30 21:55:45,960,180,102
5281959998_10150673329794999,"After Jennifer Berry was accused of throwing her newborn girl out a window in the Bronx, officials said they would review a 2008 case involving her baby boy, who died when he was just over 2 weeks old.",Murder Case Against Mother Spurs Review of ’08 Death of Another Child,link,http://nyti.ms/1POHUcy,2015-09-30 21:25:00,214,53,52
5281959998_10150673310604999,"""Republicans have never subjected big companies that actually break the law to the kind of scrutiny they’re giving Planned Parenthood."" Read more in The New York Times Opinion Section.",Republican Hypocrisy on Planned Parenthood,link,http://nyti.ms/1POGJd8,2015-09-30 20:55:00,5283,243,796
5281959998_10150673271054999,"""My mother’s death gave me the courage to think that I could do this myself, without fear."" Read on in The New York Times Opinion Section.",Learning to Die,link,http://nyti.ms/1O3dLHx,2015-09-30 20:25:00,701,45,242
5281959998_10150673033944999,"A photographer has been documenting polio vaccination efforts, highlighting how violent conflict, fear and suspicion impede its eradication. http://nyti.ms/1MG9Rma

Photos: Diego Ibarra Sánchez/MeMo",Photos from The New York Times's post,photo,https://www.facebook.com/nytimes/photos/a.283559809998.33779.5281959998/10150673033239999/?type=3,2015-09-30 19:55:01,396,21,30
5281959998_10150673264359999,"Bernie Sanders raised more than $24 million for his campaign in the last 3 months, a significant sum that was fueled by a torrid pace of online donations: more than a million so far.","Bernie Sanders Raises $24 Million, Powered by Online Donations Exceeding Obama's 2008 Pace",link,http://nyti.ms/1O3c3px,2015-09-30 19:25:01,7675,257,1009
5281959998_10150673252849999,"Chick-fil-A's new Manhattan store is expected to have the highest traffic of the chain's more than 1,900 stores.","Chick-fil-A Brings Its Sandwich, and Its Values, to New York",link,http://nyti.ms/1O393tt,2015-09-30 18:55:00,2435,520,464
5281959998_10150673248254999,"“Just knowing the pope is on track with what we’re doing, and agreeing, you know, kind of validates everything,” Kim Davis said. Read more in The New York Times Opinion Section.",The Pope Sought Out Kim Davis for a Blessing,link,http://nyti.ms/1O38pfo,2015-09-30 18:25:36,611,1375,498
5281959998_10150673237704999,What you need to know about the main foreign actors in the Syria conflict.,The Syria Conflict’s Overlapping Agendas and Competing Visions,link,http://trib.al/LjuhI2s,2015-09-30 17:55:07,422,42,120
5281959998_10150673226374999,How hosiery became instruments of control over women’s lives — and what happened once bare legs became acceptable.,The Politics of Pantyhose,link,http://nyti.ms/1MGIzvX,2015-09-30 17:25:09,922,126,416
5281959998_10150673214294999,"Lying prone on a rug adorned with the Great Seal of the United States, the woman who might someday be first lady is wearing high-heeled sandals and a crimson bikini.","Melania Trump, the Silent Partner",link,http://nyti.ms/1VnpUgi,2015-09-30 16:55:10,1268,551,221
5281959998_10150673203429999,In a word: glorious.,Cheesy Hasselback Potato Gratin Recipe,link,http://nyti.ms/1VnoRwQ,2015-09-30 16:25:10,1029,83,513
5281959998_10150673195664999,"Breaking News: With only hours to spare on the last day of the fiscal year, Congress approved a temporary spending measure to avert a shutdown.",Government Shutdown Averted as Congress Passes Spending Bill,link,http://nyti.ms/1M2jid2,2015-09-30 16:02:31,979,123,240
5281959998_10150673093874999,"A ragtag group of fighters from America and Europe have joined the fight against extremists in Syria. 

Do they know what they’re doing? http://nyti.ms/1VncLUw

Photos: Moises Saman/Magnum, for The New York Times",Photos from The New York Times's post,photo,https://www.facebook.com/nytimes/photos/a.283559809998.33779.5281959998/10150673092924999/?type=3,2015-09-30 15:55:01,796,77,74
5281959998_10150673182524999,School shootings have become so much a part of the American experience that many people assume the atrocities are happening ever more frequently. But are they?,New York Times Video,video,https://www.facebook.com/nytvideo/videos/1646686288882220/,2015-09-30 15:27:12,222,51,0
5281959998_10150673168404999,"""Love Story"" was the quintessential movie romance, at least until Nicholas Sparks picked up his laptop. Now its stars are together again for the first time in 45 years.","Ryan and Ali and Me: ‘Love Story’ Stars Reunite, and a Fan Squeezes In",link,http://nyti.ms/1L4wq4P,2015-09-30 15:05:00,7153,315,1744
5281959998_10150673095714999,"A model off duty strikes a pose at the Grand Palais - RMN (Officiel) during Paris Fashion Week.

Photo: Lee Oliveira for The New York Times","New York Times Fashion on Instagram: “Model off duty at Grand Palais, Paris #pfw - by @leeoliveira”",link,http://bit.ly/1P5GwnK,2015-09-30 14:55:00,533,19,18
5281959998_10150673156449999,His warning is the latest example of how climate change has moved beyond theoretical scientific debates to the start of practical planning for safeguarding the economy and business.,One of the World’s Most Powerful Central Bankers Is Worried About Climate Change,link,http://nyti.ms/1OGGPGt,2015-09-30 14:25:08,929,72,201
